Country Name,Country Code,Indicator Name,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,"Domestic private health expenditure per capita, PPP (current international $)",SH.XPD.PVTD.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,Domestic private health expenditure per capita (current US$),SH.XPD.PVTD.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,Out-of-pocket expenditure per capita (current US$),SH.XPD.OOPC.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,Out-of-pocket expenditure (% of current health expenditure),SH.XPD.OOPC.CH.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,"Domestic general government health expenditure per capita, PPP (current international $)",SH.XPD.GHED.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,"External health expenditure per capita, PPP (current international $)",SH.XPD.EHEX.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,External health expenditure per capita (current US$),SH.XPD.EHEX.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,External health expenditure (% of current health expenditure),SH.XPD.EHEX.CH.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,Proportion of population spending more than 25% of household consumption or income on out-of-pocket health care expenditure (%),SH.UHC.OOPC.25.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,Number of people spending more than 25% of household consumption or income on out-of-pocket health care expenditure,SH.UHC.OOPC.25.TO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,Proportion of population spending more than 10% of household consumption or income on out-of-pocket health care expenditure (%),SH.UHC.OOPC.10.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,Number of people spending more than 10% of household consumption or income on out-of-pocket health care expenditure,SH.UHC.OOPC.10.TO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,Proportion of population pushed below the $3.20 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure (%),SH.UHC.NOP2.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,Increase in poverty gap at $3.20 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (% of poverty line),SH.UHC.NOP2.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,Number of people pushed below the $3.20 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure,SH.UHC.NOP2.TO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,Increase in poverty gap at $3.20 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),SH.UHC.NOP2.CG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,Proportion of population pushed below the $1.90 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure (%),SH.UHC.NOP1.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (% of poverty line),SH.UHC.NOP1.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,Number of people pushed below the $1.90 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure,SH.UHC.NOP1.TO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),SH.UHC.NOP1.CG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,Risk of impoverishing expenditure for surgical care (% of people at risk),SH.SGR.IRSK.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,Risk of catastrophic expenditure for surgical care (% of people at risk),SH.SGR.CRSK.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,Antiretroviral therapy coverage for PMTCT (% of pregnant women living with HIV),SH.HIV.PMTC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,"Incidence of HIV, ages 15-49 (per 1,000 uninfected population ages 15-49)",SH.HIV.INCD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,"Incidence of HIV, ages 15-24 (per 1,000 uninfected population ages 15-24)",SH.HIV.INCD.YG.P3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,Young people (ages 15-24) newly infected with HIV,SH.HIV.INCD.YG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,"Incidence of HIV, all (per 1,000 uninfected population)",SH.HIV.INCD.TL.P3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,Adults (ages 15+) and children (ages 0-14) newly infected with HIV,SH.HIV.INCD.TL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,Children (ages 0-14) newly infected with HIV,SH.HIV.INCD.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,Adults (ages 15-49) newly infected with HIV,SH.HIV.INCD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,Antiretroviral therapy coverage (% of people living with HIV),SH.HIV.ARTC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,"Prevalence of HIV, male (% ages 15-24)",SH.HIV.1524.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,"Prevalence of HIV, female (% ages 15-24)",SH.HIV.1524.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,Children (0-14) living with HIV,SH.HIV.0014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,"Domestic private health expenditure per capita, PPP (current international $)",SH.XPD.PVTD.PP.CD,,,,,,,,,,,65.38706896,71.6735406,71.88439442,75.94759386,73.81835768,77.28494459,76.09536755,81.04670092,82.1674644,83.08707274,81.83240295,86.33695267,85.30134329,91.45251738,91.28347837,96.53333618,98.77532759,96.13777349,96.17558107,,
Africa Eastern and Southern,AFE,Domestic private health expenditure per capita (current US$),SH.XPD.PVTD.PC.CD,,,,,,,,,,,24.10956122,21.61764897,20.30241657,28.00146418,31.47485147,34.54378574,33.65202758,37.05514705,37.22503053,37.76122565,42.72942789,46.78959867,45.27594416,45.37864525,44.17929043,43.48957716,42.11002943,45.85212403,40.35241399,,
