Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,"Domestic private health expenditure per capita, PPP (current international $)",SH.XPD.PVTD.PP.CD,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,Domestic private health expenditure per capita (current US$),SH.XPD.PVTD.PC.CD,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,Out-of-pocket expenditure (% of current health expenditure),SH.XPD.OOPC.CH.ZS,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,"Domestic general government health expenditure per capita, PPP (current international $)",SH.XPD.GHED.PP.CD,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,"External health expenditure per capita, PPP (current international $)",SH.XPD.EHEX.PP.CD,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,External health expenditure per capita (current US$),SH.XPD.EHEX.PC.CD,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,External health expenditure (% of current health expenditure),SH.XPD.EHEX.CH.ZS,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population)",SH.STA.WASH.P5,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,"People using safely managed sanitation services, urban (% of urban population)",SH.STA.SMSS.UR.ZS,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,"People using safely managed sanitation services, rural (% of rural population)",SH.STA.SMSS.RU.ZS,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,People with basic handwashing facilities including soap and water (% of population),SH.STA.HYGN.ZS,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,"People with basic handwashing facilities including soap and water, urban (% of urban population)",SH.STA.HYGN.UR.ZS,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,"People with basic handwashing facilities including soap and water, rural (% of rural population)",SH.STA.HYGN.RU.ZS,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,98.32020997,98.25548257,98.19075516,98.12602776,98.06130035,97.99657295,97.93184555,97.86711814,97.80239074,97.73766333,97.67293593,97.60820852,97.54348112,97.54348112,97.54348112,97.54348112,97.54348112,,,,
Aruba,ABW,"People using at least basic sanitation services, urban (% of urban population)",SH.STA.BASS.UR.ZS,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,"People using at least basic sanitation services, rural (% of rural population)",SH.STA.BASS.RU.ZS,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,"People using safely managed drinking water services, urban (% of urban population)",SH.H2O.SMDW.UR.ZS,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,"People using safely managed drinking water services, rural (% of rural population)",SH.H2O.SMDW.RU.ZS,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,94.48880636,94.77049111,95.05217586,95.33386061,95.61554536,95.89723012,96.17891487,96.46059962,96.74228437,97.02396912,97.30565388,97.58733863,97.86902338,97.86902338,97.86902338,97.86902338,97.86902338,,,,
Aruba,ABW,"People using at least basic drinking water services, urban (% of urban population)",SH.H2O.BASW.UR.ZS,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,"People using at least basic drinking water services, rural (% of rural population)",SH.H2O.BASW.RU.ZS,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,"Domestic private health expenditure per capita, PPP (current international $)",SH.XPD.PVTD.PP.CD,,,66.41654205,67.93387604,72.39071655,76.12527466,83.65198517,80.19521332,94.65650177,103.1888351,108.6375351,100.3364639,106.7748337,116.6486511,132.8321991,149.9073181,158.5022125,172.2431183,146.1112213,,
Afghanistan,AFG,Domestic private health expenditure per capita (current US$),SH.XPD.PVTD.PC.CD,,,13.49204731,14.66252804,17.25441742,18.86635017,21.38543892,24.44519043,28.73069572,30.36549568,35.54101563,37.25279617,38.31590271,39.65127182,43.10952377,46.1722908,45.72795105,49.59756851,39.06802368,,
Afghanistan,AFG,Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,,,85.37561035,86.06919098,84.52759552,78.97008514,76.82497406,78.16999054,75.40338898,72.77924347,78.9966507,73.25517273,74.48620605,72.04786682,73.05592346,78.3822937,75.97433472,75.48404694,78.38278198,,
Afghanistan,AFG,Out-of-pocket expenditure (% of current health expenditure),SH.XPD.OOPC.CH.ZS,,,85.37561035,86.06919098,84.52759552,78.97008514,76.82497406,78.16999054,75.40338898,72.77924347,78.9966507,73.25517273,74.48620605,72.04786682,73.05592346,78.3822937,75.97433472,75.48257446,78.38278198,,
Afghanistan,AFG,"Domestic general government health expenditure per capita, PPP (current international $)",SH.XPD.GHED.PP.CD,,,0.69346839,5.74640894,4.74049044,5.12772369,5.10300493,5.79983377,7.68390131,7.68092346,7.5287962,7.67875957,6.22403908,8.1515007,9.01887131,9.89198589,10.59370518,11.62788296,9.64153671,,
Afghanistan,AFG,Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,,,0.14087316,1.24027777,1.12990189,1.27081895,1.30457151,1.76791167,2.33226275,2.26027417,2.46306276,2.85096025,2.23348212,2.77086258,2.92699552,3.04678655,3.05628777,3.34825993,2.57800722,,
Afghanistan,AFG,Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,,,1.21245611,5.45767879,3.60296822,3.37097836,2.72002935,2.60708547,3.00128436,2.51257253,2.25547075,2.18811941,1.37000275,1.77506948,1.8606739,2.01440573,2.14110541,2.31911564,1.79805613,,
Afghanistan,AFG,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,,,0.08418062,0.65096337,0.5429256,0.5291841,0.49784002,0.55994755,0.62779981,0.53190351,0.46915734,0.47999978,0.34288675,0.44335932,0.47265697,0.52267283,0.55663341,0.60014659,0.48597482,,
Afghanistan,AFG,Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,,,0.89142376,7.28044415,5.53527164,5.31934786,4.6865387,5.65336657,6.12099695,5.41736698,5.47462463,5.60622501,4.34189463,5.03476191,4.96025801,5.17223978,5.0778451,5.09581852,5.17229605,,
Afghanistan,AFG,"External health expenditure per capita, PPP (current international $)",SH.XPD.EHEX.PP.CD,,,10.68333817,5.24909019,8.5103159,15.1446085,20.13145256,16.59575081,23.19308472,30.91357231,21.35536575,28.95322037,30.34958649,37.10423279,39.97155762,31.45219612,39.53007889,44.31379318,30.65452385,,
Afghanistan,AFG,External health expenditure per capita (current US$),SH.XPD.EHEX.PC.CD,,,2.17024398,1.13293898,2.02844453,3.75333309,5.14656019,5.05873489,7.03970051,9.09697247,6.98645592,10.74971485,10.89087868,12.61249256,12.97241879,9.68745232,11.40444183,12.76019955,8.19657612,,
Afghanistan,AFG,External health expenditure (% of current health expenditure),SH.XPD.EHEX.CH.ZS,,,13.73297119,6.65036345,9.9371376,15.71056557,18.48848534,16.17664719,18.47561455,21.8033886,15.52872467,21.13860512,21.17189598,22.91737556,21.98381996,16.44546318,18.94781876,19.42013359,16.44491768,,
